"ID";"Nombre";"Pilar";"Responsable PC";"Estado";"Etapa";"Impacto";"Avance";"Fecha inicio";"Fecha fin planificada";"Tipo de elemento";"Área impactada";"Macroproceso";"Complejidad";"Prioridad";"Responsable líder";"Equipo responsable";"Requiere capacitación";"Impacto económico";"Resultado esperado";"Actividades";"Registró";"Creado"
"128";"Automatizar el reporte de Flujo de Estado Financiero, cuya información proviene de SIMEC";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"Contabilidad";"Planificación y Control Financiero";"Media";"Alta";"Elva Ferrel";"";"No";"No";"";"";"";"21/08/2026"
"129";"Diseñar, estructurar y digitalizar un cronograma de créditos y pagos (no urgente)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"Contabilidad";"Planificación y Control Financiero";"Media";"Alta";"Elva Ferrel";"";"No";"No";"";"";"";"21/08/2026"
"130";"Planeación comercial mensual y anual: los gerentes comerciales se encargan del pronóstico de ventas, precio y volumen mes a mes, con visión anual";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"0 %";"";"";"Entregable 90 días";"Planificación";"Planificación y Control Financiero";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"1";"";"21/08/2026"
"131";"Recomendaciones por incremento de capacidad: el liderazgo da recomendaciones en función de los incrementos de capacidad, por ejemplo, la compra de maquinaria";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Hito";"P-Extrusión";"Planificación y Control Financiero";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"132";"Restricción principal por capacidad de producción: la demanda existe; el principal límite actual está en la capacidad de producción";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"133";"Planeación específica para Tanques: en Tanques hay temporalidades y todavía no está limitada por la capacidad de producción. La compra de maquinaria es local. La demanda está preestablecida y es más e";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"134";"Planeación de materia prima: al ser un commodity, depende más del precio de mercado y del tipo de cambio. Se trabaja con proyección";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Extrusión";"Planificación y Control Financiero";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"135";"Formalización del proceso de pronóstico: actualmente no hay comité. Se envía a inicios de enero, se va ajustando y, en función del pronóstico comercial, se construye el pronóstico financiero";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"P-Extrusión";"Planificación y Control Financiero";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"136";"Tableros comerciales con proyección: desarrollar tableros comerciales con proyección, detección de temporalidad y análisis RFM";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"P-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"138";"Segmentación de productos: segmentar los productos por rentabilidad, rotación y matriz BCG";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"P-Extrusión";"Planificación y Control Comercial";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"139";"Herramienta integrada de Coberturas Diferenciada y Alertas de Inventario por segmentación de productos - C-MP";"Transformación Digital";"Jose Carlos Paz";"En proceso";"Identificado";"Medio";"5 %";"11/09/2026";"";"Entregable 90 días";"C-MateriaPrima";"Planificación y Control Comercial";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"3";"";"21/08/2026"
"140";"Ficha técnica de maquinaria y materiales: documentar la ficha técnica de la maquinaria y del material. Incluir lista / ficha de mantenimiento preventivo. Los sensores documentarán el up time y el down";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"141";"Órdenes de trabajo y mantenimiento: validar el esquema de órdenes de trabajo. Incluir los indicadores MTBF y MTTR de mantenimiento";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"P-Extrusión";"Gestión del Mantenimiento";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"142";"Estimadores de producción: usar los históricos de producción para generar Percentile Production Rankings y calculadoras de producción. Ejemplo: si trabajamos un sábado o un viernes con determinado per";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"P-Extrusión";"Planificación y Control de la Producción";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"143";"Capacity Plan comercial: diseñar un Capacity Plan para conocer las cargas de clientes por vendedor y definir cómo redistribuir la cartera vigente";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"Planificación";"Planificación y Control Comercial";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"144";"Revisión de comisiones y sueldos: revisar el esquema de comisiones y sueldos. Se identificó disparidad en los ingresos de algunos vendedores frente a niveles gerenciales. Revisar el impacto cultural y";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Entregable 90 días";"RR.HH";"Gestión del Talento y Capacitación";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"145";"Vista 360 de clientes: diseñar una vista integral del cliente que consolide información comercial, cobranza, comportamiento, cartera y oportunidades";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Capacitación";"Planificación";"Planificación y Control Comercial";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"147";"Score de crédito y cobranza: desarrollar un score de crédito y cobranza. Todavía sin plan de acción definido por la sensibilidad al tipo de cambio";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"Planificación";"Planificación y Control Financiero";"Media";"Alta";"Jose Carlos Paz";"";"No";"No";"";"";"";"21/08/2026"
"149";"Optimizar la matriz de WorkCorp: aprobaciones y control de recursos, integraremos la planilla y distribución de costos, y digitalizaremos las tareas manuales post-generación de la jefa de costos, logr";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"03/08/2026";"17/08/2026";"Iniciativa";"Transversal";"Digitalización y Analítica de Datos";"Media";"Alta";"Gabriel Cartagena";"";"No";"No";"";"6";"";"21/08/2026"
"150";"Integración WorkCorp mediante un proceso ETL equivalente al de SIMEC (Landing → Production)";"Transformación Digital";"Alan Moscoso";"En proceso";"En implementación";"Alto";"15 %";"13/07/2026";"31/10/2026";"Iniciativa";"Sistemas";"Digitalización y Analítica de Datos";"Alta";"Alta";"Kenneth Tercero";"Alan Moscoso, Gabriel Cartagena y Edwin Moscoso";"No";"No";"";"36";"";"21/08/2026"
"340";"Estructurar un plan de automatización de extracción de datos relevando información sobre el flujo de proceso que tiene el sector de Bolsas, Termoformado, Expandido, Rafia, Reciclado, Rotomoldeo. Inyec";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"06/07/2026";"18/07/2026";"Iniciativa";"Transversal";"Digitalización y Analítica de Datos";"Media";"Alta";"Alan Moscoso";"";"No";"No";"";"12";"";"21/08/2026"
"353";"Estructurar, diseñar e integrar un sitio web dentro del sharepoint que almacene toda la información referente al uso de CLAUDE IA";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"24/07/2026";"31/07/2026";"Iniciativa";"Transversal";"Digitalización y Analítica de Datos";"Media";"Alta";"Alan Moscoso";"";"No";"No";"";"1";"";"21/08/2026"
"405";"Conformar al equipo integrado de transformación y presentar el plan de trabajo para los próximos 90 días, realizar pruebas de liderazgo y conocimientos a todas las áreas de la empresa.";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"02/07/2026";"16/07/2026";"Proceso";"Transversal";"Gestión del Talento y Capacitación";"Media";"Alta";"Dante Cadena";"";"No";"No";"";"2";"";"21/08/2026"
"406";"Torre de Control Comercial - Extrusión V1";"Transformación Digital";"Alan Moscoso";"Concluido";"Cerrado";"Medio";"100 %";"22/07/2026";"07/08/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"1";"";"21/08/2026"
"407";"Torre de Control Comercial - Materia Prima V1";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"28/07/2026";"07/08/2026";"Tecnología";"C-MateriaPrima";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"3";"";"21/08/2026"
"408";"Torre de Control Comercial -Tanques V1";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"31/07/2026";"13/08/2026";"Tecnología";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"1";"";"21/08/2026"
"410";"Torre de Control Comercial - Extrusión V2";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"31/07/2026";"12/08/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"5";"";"21/08/2026"
"411";"Digitalizar y automatizar reportes contables - V1 (A diseñar)";"Transformación Digital";"Alan Moscoso";"No iniciado";"Identificado";"Medio";"0 %";"07/09/2026";"18/09/2026";"Tecnología";"Contabilidad";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"1";"";"21/08/2026"
"412";"Tablero Automatizado diario - Ejecutivo Finanzas";"Transformación Digital";"";"Atrasado";"Identificado";"Medio";"—";"07/09/2026";"16/09/2026";"Tecnología";"Contabilidad";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"";"";"21/08/2026"
"420";"Vista 360 para el vendedor V1";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"04/08/2026";"12/08/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"2";"";"21/08/2026"
"421";"Migración de ""Un Set Utilizable"" de Datos de WorkCorp para Explotar con BI";"Transformación Digital";"Kenneth Tercero";"Concluido";"Cerrado";"Medio";"100 %";"22/08/2026";"29/08/2026";"Tecnología";"Transversal";"Digitalización y Analítica de Datos";"Media";"Alta";"Kenneth Tercero";"";"No";"No";"";"3";"";"21/08/2026"
"427";"Vista 360 para el vendedor V2";"Transformación Digital";"";"Concluido";"En validación";"Medio";"100 %";"13/08/2026";"21/08/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"9";"";"21/08/2026"
"429";"Torre de Control Comercial - Materia Prima V2";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"12/08/2026";"19/08/2026";"Tecnología";"C-MateriaPrima";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"3";"";"21/08/2026"
"430";"Mejora en rutina de supervisión activa Extrusión-V1";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"13/08/2026";"27/08/2026";"Iniciativa";"C-Extrusión";"Supervisión y Rutinas de Campo";"Media";"Alta";"Jackeline Montenegro";"";"No";"No";"";"1";"";"21/08/2026"
"433";"Implementación de la CLAUDE IA 2da Fase (Gerencia, Comercial Bolsas, profundizar las skills, mejorar los prompts)";"Transformación Digital";"";"Concluido";"En implementación";"Medio";"100 %";"03/08/2026";"30/09/2026";"Tecnología";"Transversal";"Digitalización y Analítica de Datos";"Media";"Alta";"Alan Moscoso";"";"No";"No";"";"1";"";"21/08/2026"
"435";"Integración de Rafia a Work Corp";"Transformación Digital";"";"En proceso";"En diseño";"Alto";"38 %";"17/08/2026";"30/09/2026";"Iniciativa";"P-Rafia";"Digitalización y Analítica de Datos";"Media";"Alta";"Gabriel Cartagena";"";"No";"No";"";"5";"";"21/08/2026"
"436";"Retomar el Proyecto Dosificador (Producción Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Termoformado";"Planificación y Control de la Producción";"Media";"Alta";"Graciela Gutiérrez";"";"No";"No";"";"";"";"21/08/2026"
"437";"Sistema de recirculación de material (Producción Termoformado)";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"P-Termoformado";"Planificación y Control de la Producción";"Media";"Alta";"Graciela Gutiérrez";"";"No";"No";"";"";"";"21/08/2026"
"438";"Análisis de tiempo de espera de vehículo de carga por área (solo se cuenta con un montacarga) Producción Termoformado";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Rutina de gestión";"P-Termoformado";"Planificación y Control de la Producción";"Media";"Alta";"Graciela Gutiérrez";"";"No";"No";"";"";"";"21/08/2026"
"439";"Analizar y reconfigurar rutas de Producción en el sistema Work Corp creando una desviación o atajo para evitar el registro duplicado al pasar a la fase de empaquetado. (Debido a la adaptación del sist";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"P-Termoformado";"Digitalización y Analítica de Datos";"Media";"Alta";"Graciela Gutiérrez";"";"No";"No";"";"";"";"21/08/2026"
"440";"Organizar el área de Calidad, diseñarle un sistema de trabajo.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Proceso";"Calidad";"Gestión del Talento y Capacitación";"Media";"Alta";"Calidad Bolsa";"";"No";"No";"";"";"";"21/08/2026"
"441";"Digitalizar los reportes del área de calidad, actualmente lo comunican mediante correo con copia a la mayoría de las áreas de la empresa.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Información";"Calidad";"Digitalización y Analítica de Datos";"Media";"Alta";"Calidad Bolsa";"";"No";"No";"";"";"";"21/08/2026"
"443";"Torre de Control Comercial - Extrusión V3";"Transformación Digital";"";"Concluido";"En validación";"Medio";"100 %";"17/08/2026";"31/08/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"11";"";"21/08/2026"
"444";"Analizar e implementar ajustes para optimizar el uso y aprovechamiento del módulo de Almacén.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Iniciativa";"Inventarios";"Digitalización y Analítica de Datos";"Media";"Alta";"Gabriel Cartagena";"";"No";"No";"";"";"";"21/08/2026"
"445";"Optimización de datos y parámetros de reportes";"Transformación Digital";"";"No iniciado";"Identificado";"Alto";"—";"";"";"Tecnología";"Transversal";"Gestión Visual del Desempeño";"Media";"Alta";"Gabriel Cartagena";"";"No";"No";"";"";"";"21/08/2026"
"446";"Retomar la Integración de Tanques santa cruz y la paz a Workcorp:";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Iniciativa";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Baja";"Gabriel Cartagena";"";"No";"No";"";"";"";"21/08/2026"
"447";"Retomar la Integración de Reciclado a Workcorp";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Iniciativa";"P-Reciclado";"Digitalización y Analítica de Datos";"Media";"Media";"Gabriel Cartagena";"";"No";"No";"";"";"";"21/08/2026"
"448";"Torre de Control Comercial - Tanques V2";"Transformación Digital";"";"Concluido";"En validación";"Medio";"100 %";"20/08/2026";"31/08/2026";"Tecnología";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"6";"";"21/08/2026"
"449";"Torre de Control Comercial - Materia Prima V3";"Transformación Digital";"";"Concluido";"En validación";"Medio";"100 %";"20/08/2026";"31/08/2026";"Tecnología";"C-MateriaPrima";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"4";"";"21/08/2026"
"452";"Tablero de Control de Extrusión Individualizado por vendedor";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"";"";"21/08/2026"
"453";"Capacitación a vendedores de cómo transformarsee a Asesores de Venta";"Transformación Digital";"";"Atrasado";"Identificado";"Medio";"50 %";"24/08/2026";"04/09/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"2";"";"21/08/2026"
"454";"Vista 360 para Cobrador (Vista para celular) V1";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"18/08/2026";"19/08/2026";"Tecnología";"Contabilidad";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"";"No";"No";"";"2";"";"21/08/2026"
"455";"App: Tomador de pedidos Proforma - modulo";"Transformación Digital";"";"En proceso";"Identificado";"Medio";"63 %";"19/08/2026";"10/10/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"Sí";"No";"";"8";"";"21/08/2026"
"456";"App: Gestión de Cobranza  para Peter y Contabilidad";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"Contabilidad";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"";"";"21/08/2026"
"457";"Tablero de Control - Extrusión para Walter-Vista para celular";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"0 %";"";"";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Baja";"Romina Mendoza";"";"No";"No";"";"2";"";"21/08/2026"
"458";"Material Publicitario Digital: Habilitar un espacio digital para la visualización de artes publicitarios y enlaces a videos promocionales.";"Transformación Digital";"";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"Marketing";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"";"";"21/08/2026"
"459";"Arranque de nueva máquina (Chudong) para línea de Termoformado-Expandido, usando métodología de OPL (One-Point-Lesson) para documentar de forma simple las Buenas Prácticas y Manual de Operación";"Transformación Digital";"";"En proceso";"En diseño";"Medio";"70 %";"31/08/2026";"30/09/2026";"Proceso";"P-Expandido";"Gestión del Talento y Capacitación";"Media";"Alta";"Taliana Justiniano";"";"No";"No";"";"21";"";"21/08/2026"
"463";"Mejorar la estructura, practicidad y visualización de la información para el sharepoint del centro de control V 3.0";"Transformación Digital";"";"Concluido";"Cerrado";"Medio";"100 %";"15/08/2026";"22/08/2026";"Tecnología";"Transversal";"Digitalización y Analítica de Datos";"Media";"Media";"Alan Moscoso";"";"No";"No";"";"4";"";"21/08/2026"
"465";"Implementación Fabrica La Paz termoformado";"Transformación Digital";"";"En proceso";"Identificado";"Alto";"53 %";"26/08/2026";"30/09/2026";"Tecnología";"P-Termoformado";"Planificación y Control de la Producción";"Alta";"Alta";"Nathalia Justiniano";"";"No";"No";"";"24";"Nathalia Justiniano";"26/08/2026"
"466";"Equipar a cobranzas extrusión (Peter) con impresoras portátiles e implementar la emisión y entrega automatizada de recibos en campo.";"Transformación Digital";"Alan Moscoso";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Media";"Edwin Moscoso";"";"No";"No";"";"";"Romina Mendoza";"26/08/2026"
"467";"Automatizar y centralizar en Power BI los reportes e indicadores que actualmente se generan y envían diariamente por correo";"Transformación Digital";"Alan Moscoso";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"Transversal";"Digitalización y Analítica de Datos";"Media";"Media";"Edwin Moscoso";"";"No";"No";"";"";"Romina Mendoza";"26/08/2026"
"468";"Digitalizar y automatizar la herramienta de planificación de producción";"Transformación Digital";"Enrique Cardenas";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"Planificación";"Digitalización y Analítica de Datos";"Media";"Media";"Enrique Cardenas";"Analistas de Producción";"No";"No";"Reducción significativa de pasos manuales, visibilidad precisa y en tiempo real de las necesidades de producción.";"";"Andrea Parada";"26/08/2026"
"469";"Implementación de metodología 5S en Inyección";"Mejora Continua (Kaizen)";"Taliana Justiniano";"No iniciado";"En diseño";"Medio";"0 %";"27/08/2026";"27/09/2026";"Rutina de gestión";"P-Inyección";"Planificación y Control de la Producción";"Media";"Media";"Taliana Justiniano";"Cristian Mejia, Horacio Irapi";"Sí";"No";"Área completamente ordenada, mezclas estandarizadas, rutinas diarias";"8";"Taliana Justiniano";"27/08/2026"
"471";"Desarrollo del Sistema de pruebas de laboratorio para el área de Rafia v1.0 (impresión de certificados de calidad y etiquetas QR de conformidad)";"Transformación Digital";"Kenneth Tercero";"Concluido";"Cerrado";"Medio";"100 %";"17/08/2026";"28/08/2026";"Tecnología";"Calidad";"Digitalización y Analítica de Datos";"Alta";"Media";"Alan Moscoso";"Alan Moscoso; Kenneth Tercero";"Sí";"Sí";"Contar con un sistema que reemplace el uso del excel de control que maneja la encargada de calidad, evitar que la documentación la tenga solo el área de calidad y sea escalable.";"7";"Alan Moscoso";"31/08/2026"
"472";"Despliegue de plataforma web de ""Portafolio de Transformación"" con Laravel e inicio de desarrollo In-House";"Transformación Digital";"Kenneth Tercero";"Concluido";"Cerrado";"Alto";"100 %";"24/08/2026";"31/08/2026";"Tecnología";"Transversal";"Digitalización y Analítica de Datos";"Media";"Baja";"Kenneth Tercero";"";"Sí";"No";"";"1";"Kenneth Tercero";"31/08/2026"
"473";"Realizar una evaluación de desarrollo Front End en la aplicación del portafolio de transformación y funcionalidades base para una V 3.1";"Transformación Digital";"Alan Moscoso";"Concluido";"Cerrado";"Medio";"100 %";"01/09/2026";"02/09/2026";"Tecnología";"Sistemas";"Digitalización y Analítica de Datos";"Media";"Media";"Alan Moscoso";"Alan Moscoso; Kenneth Tercero";"No";"No";"Tener un informe de mejoras en cuanto a desarrollo visual y mejora de la experiencia de usuario en dispositivos móviles y uso en general";"4";"Alan Moscoso";"02/09/2026"
"474";"Desplegar mejoras para aplicación del Portafolio de Transformación V 3.1";"Transformación Digital";"Alan Moscoso";"Concluido";"En implementación";"Medio";"100 %";"01/09/2026";"11/09/2026";"Tecnología";"Sistemas";"Digitalización y Analítica de Datos";"Media";"Baja";"Kenneth Tercero";"";"No";"No";"";"17";"Kenneth Tercero";"02/09/2026"
"475";"Realizar un manual de usuario para el portafolio de transforamación enfocado al mejores prácticas del sistema";"Capacitación / E-learning";"Alan Moscoso";"Concluido";"Cerrado";"Alto";"100 %";"01/09/2026";"03/09/2026";"Información";"Transversal";"Digitalización y Analítica de Datos";"Media";"Media";"Alan Moscoso";"Alan Moscoso";"Sí";"No";"https://plasticoscarmenbo.sharepoint.com/:b:/s/pc-transformacion/IQBKHnovfXDKRppvJxCcv9joAdNGpUpMCUBUnTrM9lhgk0I?e=ZBlEVO";"3";"Alan Moscoso";"03/09/2026"
"476";"Gestión de materiales en proceso termoformado Santa Cruz";"Transformación Digital";"Josias Vaca";"En proceso";"Priorizado";"Alto";"67 %";"02/09/2026";"02/10/2026";"Tecnología";"P-Termoformado";"Digitalización y Analítica de Datos";"Alta";"Alta";"Nathalia Justiniano";"Andrea Parada, Gabriel Cartagena";"Sí";"No";"Tener los saldos del material en proceso actualizado a diario, y a fin de mes el inventario se pueda realizar durante el día.";"6";"Nathalia Justiniano";"03/09/2026"
"477";"Estructurar lista de precios base por grupo de producto";"Transformación Digital";"Jackeline Montenegro";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Media";"Jackeline Montenegro";"Romina Mendoza, Jazmin Irazusta";"No";"Sí";"";"";"Romina Mendoza";"03/09/2026"
"478";"Torre de Control Comercial - Extrusión V4";"Transformación Digital";"";"Atrasado";"Identificado";"Alto";"77 %";"07/09/2026";"08/09/2026";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Alta";"Alta";"Romina Mendoza";"Romina Mendoza, Jazmin Irazusta";"No";"No";"";"11";"Romina Mendoza";"04/09/2026"
"479";"Torre de Control Comercial - Tanques V3";"Transformación Digital";"";"Atrasado";"Identificado";"Medio";"75 %";"07/09/2026";"08/09/2026";"Tecnología";"P-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Alta";"Romina Mendoza";"Romina Mendoza, Jazmin Irazusta";"No";"No";"";"8";"Romina Mendoza";"04/09/2026"
"480";"Torre de Control Comercial - Materia Prima V4";"Transformación Digital";"";"Atrasado";"Identificado";"Medio";"58 %";"07/09/2026";"08/09/2026";"Tecnología";"C-MateriaPrima";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"Romina Mendoza, Jazmin Irazusta";"No";"No";"";"6";"Romina Mendoza";"04/09/2026"
"481";"Mejorar excel de lista de precios-Rotomoldeo";"Transformación Digital";"";"Atrasado";"En diseño";"Medio";"—";"05/09/2026";"08/09/2026";"Tecnología";"Transversal";"Planificación y Control Comercial";"Media";"Media";"Romina Mendoza";"Jose Luis";"No";"No";"Tener todos los precios en bolivianos y que al cargar un porcentaje de aumento de precio, se aplique a todas las paginas";"";"Romina Mendoza";"05/09/2026"
"482";"Herramienta integrada de Coberturas Diferenciada y Alertas de Inventario por segmentación de productos - C-EXTRUSION";"Transformación Digital";"Jose Carlos Paz";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"C-Extrusión";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"";"Andrea Parada";"09/09/2026"
"483";"Herramienta integrada de Coberturas Diferenciada y Alertas de Inventario por segmentación de productos - C-ROTOMOLDEO";"Transformación Digital";"Jose Carlos Paz";"No iniciado";"Identificado";"Medio";"—";"";"";"Tecnología";"C-Rotomoldeo";"Digitalización y Analítica de Datos";"Media";"Media";"Romina Mendoza";"";"No";"No";"";"";"Andrea Parada";"09/09/2026"
"485";"Implementar IA para el uso y gestión de información del sector de termoformado - expandido";"Transformación Digital";"Alan Moscoso";"Concluido";"Identificado";"Medio";"100 %";"14/09/2026";"18/09/2026";"Quick Win";"P-Termoformado";"Digitalización y Analítica de Datos";"Media";"Alta";"Alan Moscoso";"Sistemas";"Sí";"No";"Creación de proyectos por áreas, base del conocimiento (sharepoints) y capacitación en cuanto a prompts";"5";"Alan Moscoso";"11/09/2026"
"486";"Desarrollo e implementación del Sharepoint de Directorio";"Transformación Digital";"Alan Moscoso";"Concluido";"Identificado";"Alto";"100 %";"14/09/2026";"19/09/2026";"Iniciativa";"Sistemas";"Digitalización y Analítica de Datos";"Media";"Alta";"Jose Paz";"";"Sí";"Sí";"";"6";"Alan Moscoso";"12/09/2026"
"487";"Realizar una nueva estructura del menú del portafolio y añadir modelos de vistas gerenciales, operativas.";"Transformación Digital";"Alan Moscoso";"En proceso";"Identificado";"Alto";"50 %";"14/09/2026";"19/09/2026";"Tecnología";"Sistemas";"Digitalización y Analítica de Datos";"Alta";"Alta";"Alan Moscoso";"Kenneth y Alan";"Sí";"No";"";"2";"Alan Moscoso";"12/09/2026"
"488";"Automatizar el cuadre de incentivos, bonos y anticipos el excel interno y fiscal que gestiona RRHH para el cierre de mes";"Transformación Digital";"Alan Moscoso";"En proceso";"Identificado";"Alto";"10 %";"14/09/2026";"30/09/2026";"Tecnología";"RR.HH";"Digitalización y Analítica de Datos";"Media";"Media";"Kenneth Tercero";"Kenneth y Alan";"No";"No";"";"2";"Alan Moscoso";"12/09/2026"
